,Video ID,Title,Duration,Upload Date,authorDisplayName,date,likeCount,comment,comment_en
0,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@Maskkq,27.02.2025,0.0,Bye cristiano😢,Bye cristiano😢
1,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@AishaRehman-fq1os,12.02.2025,0.0,Stay humble eh😂,Stay humble eh😂
2,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@MESS1_FOOTBALL,09.02.2025,1.0,You dropped a pin can i have it and can I have a shoutout vid??? Visça barça,You dropped a pin can i have it and can I have a shoutout vid??? Visça barça
3,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@TheGreat_121,07.02.2025,2.0,THERE WILL BE GOALS<br>THERE WILL BE no GOALS,THERE WILL BE GOALS<br>THERE WILL BE no GOALS
4,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@TheGreat_121,07.02.2025,1.0,200 likes and 6 comments in 12 days<br>THAT IS A LOT OF LIKES IN 12 DAYS FOR SOMETHING LIKE NIKE,200 likes and 6 comments in 12 days<br>THAT IS A LOT OF LIKES IN 12 DAYS FOR SOMETHING LIKE NIKE
5,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@TheGreat_121,07.02.2025,3.0,&#39;Stay humble eh&#39; ahhh moment,&#39;Stay humble eh&#39; ahhh moment
6,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@Astro_Not_,26.01.2025,2.0,Despite how cheesy it was at times this was a phenomenal series,Despite how cheesy it was at times this was a phenomenal series
7,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@jawadmhmdali,25.01.2025,0.0,Fourth,Fourth
8,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@adirocks76,25.01.2025,1.0,Aight Nike do 5 stages of cristiano ronaldo,Aight Nike do 5 stages of cristiano ronaldo
9,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@olgavaldazo9549,25.01.2025,0.0,Second,Second
10,lde_GOHXXAc,Stage 5: Acceptance - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@ano7Editz,25.01.2025,0.0,first,first
11,9X9_QSuIZL4,Stage 4: Despair - Phantom GX Haaland #NikeFootball,16.0,25.01.2025,@5fpirzada,28.01.2025,0.0,stay humble eh,stay humble eh
